sentence_id,sentence_text,image_file,title,author,type,school,timeframe_start,timeframe_end
1,Rudolph II (1552-1612) was the son of the Holy Roman Emperor Maximilian II.,00003-rudolf2.jpg,Portrait of Emperor Rudolf II,Hans von AACHEN,portrait,German,1601,1650
2,He became King of Hungary in 1572 and King of Bohemia in 1575.,00003-rudolf2.jpg,Portrait of Emperor Rudolf II,Hans von AACHEN,portrait,German,1601,1650
3,Following the death of his father he also became Holy Roman Emperor and Archduke of Austria.,00003-rudolf2.jpg,Portrait of Emperor Rudolf II,Hans von AACHEN,portrait,German,1601,1650
4,His reign was a troubled time of great religious conflicts coupled with the external menace of the Turks.,00003-rudolf2.jpg,Portrait of Emperor Rudolf II,Hans von AACHEN,portrait,German,1601,1650
5,"Unfortunately, politics was not a great interest of his.",00003-rudolf2.jpg,Portrait of Emperor Rudolf II,Hans von AACHEN,portrait,German,1601,1650
6,"Instead he was familiar with a number of languages and was devoted to art and science, the latter including alchemy and astrology, a highly fashionable preoccupation at that time.",00003-rudolf2.jpg,Portrait of Emperor Rudolf II,Hans von AACHEN,portrait,German,1601,1650
7,He was also fascinated by magic and the occult.,00003-rudolf2.jpg,Portrait of Emperor Rudolf II,Hans von AACHEN,portrait,German,1601,1650
8,"At the end of the 1590s mental illness rendered him incapable of governing his empire, which by that time was torn by disputes between Reformation and Counter-Reformation movements.",00003-rudolf2.jpg,Portrait of Emperor Rudolf II,Hans von AACHEN,portrait,German,1601,1650
9,"As a result, in 1611, he was forced to cede the crown of Bohemia to his brother Matthias and he died soon afterwards",00003-rudolf2.jpg,Portrait of Emperor Rudolf II,Hans von AACHEN,portrait,German,1601,1650
10,From 1772 Abildgaard spent five years in Rome thanks to a scholarship granted by the Royal Danish Academy of Fine Arts in Copenhagen.,00029-philocte.jpg,The Wounded Philoctetes,Nicolai ABILDGAARD,mythological,Danish,1751,1800
11,"It was while in Rome that he created this depiction of the legendary hero Philoctetes, whose screams of pain caused by a festering snakebite made his comrades-in-arms abandon him on a Greek island during the Trojan war.Abildgaard used a principal work of classical sculpture as the basis for his rendition of Philoctetes' tormented state: the Torso Belvedere in the Vatican museum served as the model for the plastic and mannered rendition of the hero's upper body.",00029-philocte.jpg,The Wounded Philoctetes,Nicolai ABILDGAARD,mythological,Danish,1751,1800
12,"With this move, Abildgaard's stylistic innovation was imbued with features of a work canonised by neoclassicism - without, however, reducing the tensions in the painting",00029-philocte.jpg,The Wounded Philoctetes,Nicolai ABILDGAARD,mythological,Danish,1751,1800
13,"Intense colours characterize the still-lifes of Van Aelst, who worked for a time in France and Italy.",00097-still_fr.jpg,Still-Life with Fruit and Crystal Vase,Willem van AELST,still-life,Dutch,1651,1700
14,"In this painting, which was commissioned by Cardinal Giovan Carlo de' Medici, the intense blue of the table-cloth catches one's eye.",00097-still_fr.jpg,Still-Life with Fruit and Crystal Vase,Willem van AELST,still-life,Dutch,1651,1700
15,The large crystal vase in the centre of the composition was probably in the possession of the Medici family.,00097-still_fr.jpg,Still-Life with Fruit and Crystal Vase,Willem van AELST,still-life,Dutch,1651,1700
16,The painter placed his signature and the date on the hem of the white tablecloth: W.A.Aelst.,00097-still_fr.jpg,Still-Life with Fruit and Crystal Vase,Willem van AELST,still-life,Dutch,1651,1700
17,1652,00097-still_fr.jpg,Still-Life with Fruit and Crystal Vase,Willem van AELST,still-life,Dutch,1651,1700
18,Van Aelst's still-lifes are infinitely various.,00106-stilvase.jpg,Still-Life with Fruit and a Crystal Vase,Willem van AELST,still-life,Dutch,1651,1700
19,"Here, he perhaps suggests the category's classical roots: the Greek painter Zeuxis's grapes, so lifelike that birds tried to eat them, and the split pomegranate recalling Demeter's bargain, and announcing winter's return, as Proserpina descends to Hades once more",00106-stilvase.jpg,Still-Life with Fruit and a Crystal Vase,Willem van AELST,still-life,Dutch,1651,1700
20,The painting is an Ecce Homo fragment.,00123-marketse.jpg,Market Scene,Pieter AERTSEN,still-life,Netherlandish,1501,1550
21,"Similarly to other biblical paintings of Aertsen, the biblical event takes place at the back, while the foreground is dominated by a market scene.. Somewhere in the background, the picture - cut off at the top - affords a small glimpse of the platform where the masses are shouting 'Barabbas' (John 19:4-6).",00123-marketse.jpg,Market Scene,Pieter AERTSEN,still-life,Netherlandish,1501,1550
22,This is optically overlaid by the bow-shaped arrangement of carts and market stalls - a reversal of emphasis which is typical of Aertsen,00123-marketse.jpg,Market Scene,Pieter AERTSEN,still-life,Netherlandish,1501,1550
23,"The painting demonstrates a wide range of agricultural products, made possible by the improvements in production methods.",00124-marketst.jpg,Market Woman with Vegetable Stall,Pieter AERTSEN,still-life,Netherlandish,1501,1550
24,"Offering her fruits and vegetables, the woman is almost an appendage to her produce.",00124-marketst.jpg,Market Woman with Vegetable Stall,Pieter AERTSEN,still-life,Netherlandish,1501,1550
25,"Despite all exaggeration, the picture quite adequately shows the new economic prosperity of the time.",00124-marketst.jpg,Market Woman with Vegetable Stall,Pieter AERTSEN,still-life,Netherlandish,1501,1550
26,"At the same time, however, it still contains a background scene in genre style of embracing lovers in a stable, thus relating the painting to late medieval peasant satires.",00124-marketst.jpg,Market Woman with Vegetable Stall,Pieter AERTSEN,still-life,Netherlandish,1501,1550
27,"Peasants were regarded as lustful, sensuous and carnal by the middle classes",00124-marketst.jpg,Market Woman with Vegetable Stall,Pieter AERTSEN,still-life,Netherlandish,1501,1550
28,"In England Agasse was praised for his extreme devotion to art, of his marvellous knowledge of anatomy, of his special fondness for the English racehorses, and his excellence in depicting them",00134-horse.jpg,Portrait of a Horse,Jacques-Laurent AGASSE,other,Swiss,1801,1850
29,"The picture shows the painting on the ceiling vault of the piano nobile loggia in the Palazzo Verospi, painted by Francesco Albani.",00195-5verospi.jpg,Ceiling vault of piano nobile loggia,Francesco ALBANI,mythological,Italian,1601,1650
