IMAGE_FILE,DESCRIPTION,AUTHOR,TITLE,TECHNIQUE,DATE,TYPE,SCHOOL,TIMEFRAME
00003-rudolf2.jpg,Rudolph II (1552-1612) was the son of the Holy Roman Emperor Maximilian II.,"AACHEN, Hans von",Portrait of Emperor Rudolf II,"Oil on canvas, 60 x 48 cm",1590s,portrait,German,1601-1650
00003-rudolf2.jpg,He became King of Hungary in 1572 and King of Bohemia in 1575.,"AACHEN, Hans von",Portrait of Emperor Rudolf II,"Oil on canvas, 60 x 48 cm",1590s,portrait,German,1601-1650
00003-rudolf2.jpg,Following the death of his father he also became Holy Roman Emperor and Archduke of Austria.,"AACHEN, Hans von",Portrait of Emperor Rudolf II,"Oil on canvas, 60 x 48 cm",1590s,portrait,German,1601-1650
00003-rudolf2.jpg,His reign was a troubled time of great religious conflicts coupled with the external menace of the Turks.,"AACHEN, Hans von",Portrait of Emperor Rudolf II,"Oil on canvas, 60 x 48 cm",1590s,portrait,German,1601-1650
00003-rudolf2.jpg,"Unfortunately, politics was not a great interest of his.","AACHEN, Hans von",Portrait of Emperor Rudolf II,"Oil on canvas, 60 x 48 cm",1590s,portrait,German,1601-1650
00003-rudolf2.jpg,"Instead he was familiar with a number of languages and was devoted to art and science, the latter including alchemy and astrology, a highly fashionable preoccupation at that time.","AACHEN, Hans von",Portrait of Emperor Rudolf II,"Oil on canvas, 60 x 48 cm",1590s,portrait,German,1601-1650
00003-rudolf2.jpg,He was also fascinated by magic and the occult.,"AACHEN, Hans von",Portrait of Emperor Rudolf II,"Oil on canvas, 60 x 48 cm",1590s,portrait,German,1601-1650
00003-rudolf2.jpg,"At the end of the 1590s mental illness rendered him incapable of governing his empire, which by that time was torn by disputes between Reformation and Counter-Reformation movements.","AACHEN, Hans von",Portrait of Emperor Rudolf II,"Oil on canvas, 60 x 48 cm",1590s,portrait,German,1601-1650
00003-rudolf2.jpg,"As a result, in 1611, he was forced to cede the crown of Bohemia to his brother Matthias and he died soon afterwards","AACHEN, Hans von",Portrait of Emperor Rudolf II,"Oil on canvas, 60 x 48 cm",1590s,portrait,German,1601-1650
00029-philocte.jpg,From 1772 Abildgaard spent five years in Rome thanks to a scholarship granted by the Royal Danish Academy of Fine Arts in Copenhagen.,"ABILDGAARD, Nicolai",The Wounded Philoctetes,"Oil on canvas, 123 x 178 cm",1775,mythological,Danish,1751-1800
00029-philocte.jpg,"It was while in Rome that he created this depiction of the legendary hero Philoctetes, whose screams of pain caused by a festering snakebite made his comrades-in-arms abandon him on a Greek island during the Trojan war.Abildgaard used a principal work of classical sculpture as the basis for his rendition of Philoctetes' tormented state: the Torso Belvedere in the Vatican museum served as the model for the plastic and mannered rendition of the hero's upper body.","ABILDGAARD, Nicolai",The Wounded Philoctetes,"Oil on canvas, 123 x 178 cm",1775,mythological,Danish,1751-1800
